hgnc_symbol	Compartments.Score	LOCATE_score	GO.score	Uniprot.Score	Goldstd.Score	Goldstd_result	NEG.control
64	MIF	1	0	1	1	0	no	1
65	DDT	1	0	1	0	0	no	1
66	OSM	1	1	1	1	0	no	0
67	MAPK1	1	0	1	0	0	no	0
68	TCN2	1	1	1	1	0	no	1
69	PLA2G3	1	0	1	1	0	no	0
70	LGALS1	1	0	1	1	0	no	1
71	HMOX1	1	0	1	0	0	no	1
72	ARSA	1	1	1	0	0	no	1
73	ACR	1	0	1	0	0	no	0
74	CHADL	1	1	1	1	0	no	0
75	NID2	1	1	1	1	0	no	1
76	CTSG	1	1	1	0	0	no	0
77	COCH	1	0	1	1	1	YES	0
78	PYGL	1	0	1	0	0	no	1
79	CHGA	1	0	1	1	1	YES	0
80	PYGB	1	0	1	0	0	no	1
81	PROCR	1	0	1	0	0	no	0
82	R3HDML	1	1	1	1	0	no	0
83	CTSZ	1	0	1	0	1	YES	0
84	RSPO4	1	0	1	1	0	no	0
85	PDYN	1	0	1	1	0	no	0
86	OXT	1	1	1	1	0	no	0
87	LBP	1	1	1	1	0	no	0
88	CST4	1	0	1	1	0	no	0
89	SPINT3	1	0	1	1	0	no	0
90	F9	1	0	1	1	0	no	0
91	PCSK1N	1	0	1	1	1	YES	0
92	TIMP1	1	1	1	1	0	no	1
93	ITIH6	1	1	1	1	0	no	0
94	MAGED2	1	0	1	0	0	no	1
95	GLA	1	1	1	0	0	no	0
96	OLFM4	1	0	1	1	0	no	0
97	MMP2	1	1	1	1	1	YES	0
98	CBLN1	1	0	1	1	0	no	0
99	CCL22	1	0	1	1	0	no	0
100	CCL17	1	0	1	1	0	no	0
101	MMP15	1	0	1	0	0	no	1
102	USB1	1	0	1	0	0	no	1
103	PRSS54	1	1	1	1	0	no	0
104	PSMD7	1	0	1	0	0	no	1
105	PLA2G15	1	0	1	1	1	YES	0
106	WFDC1	1	1	1	1	0	no	0
107	CTSH	1	1	1	0	1	YES	0
108	CEMIP	1	1	1	1	0	no	0
109	SCG3	1	0	1	1	1	YES	0
110	AGO2	1	0	1	0	1	YES	0
111	TG	1	1	1	1	0	no	0
112	CPQ	1	0	1	1	1	YES	0
113	SFRP1	1	0	1	1	0	no	1
114	PLAT	1	0	1	1	0	no	1
115	DKK4	1	0	1	1	0	no	0
116	STXBP2	1	0	1	0	0	no	1
117	TULP2	1	0	1	1	0	no	0
118	LHB	1	1	1	1	0	no	1
119	AMH	1	1	1	1	1	YES	0
120	DKKL1	1	0	1	1	1	YES	0
121	RETN	1	1	1	1	0	no	0
122	EBI3	1	0	1	1	0	no	0
123	APLP1	1	0	1	0	0	no	0
124	TGFB1	1	1	1	1	0	no	1
125	CEACAM5	1	0	1	0	0	no	1
126	EPOR	1	0	1	1	1	YES	0
127	FGF21	1	0	1	1	0	no	0
128	COMP	1	1	1	1	0	no	1
129	HAMP	1	0	1	1	0	no	0
130	PON1	1	0	1	1	0	no	0
131	HGF	1	1	1	0	0	no	1
132	LAMB1	1	1	1	1	0	no	0
133	WNT16	1	0	1	1	0	no	0
134	CPA2	1	0	1	1	0	no	0
135	CPA4	1	1	1	1	0	no	1
136	TFPI2	1	1	1	1	0	no	0
137	PON2	1	1	1	0	0	no	0
138	NPVF	1	0	1	1	0	no	0
139	LFNG	1	1	1	0	0	no	0
140	STX1A	1	0	1	1	0	no	0
141	CCL24	1	0	1	1	0	no	0
142	PDAP1	1	0	1	0	0	no	1
143	PCOLCE	1	0	1	1	1	YES	0
144	SERPINE1	1	0	1	1	0	no	1
145	PLOD3	1	1	1	0	0	no	0
146	RARRES2	1	0	1	1	0	no	1
147	PSMA2	1	0	1	0	0	no	0
148	AEBP1	1	0	1	1	1	YES	0
149	FKTN	1	0	1	0	0	no	0
150	C5	1	1	1	1	0	no	0
151	TNFSF8	1	0	1	0	0	no	0
152	RLN1	1	0	1	1	0	no	0
153	SETX	1	0	1	0	0	no	1
154	C8G	1	1	1	1	0	no	1
155	MPO	1	0	1	0	1	YES	0
156	EPX	1	1	1	0	0	no	0
157	CSF3	1	1	1	1	0	no	0
158	WNT3	1	0	1	1	0	no	0
159	C1QBP	1	0	1	1	0	no	1
160	CPD	1	0	1	0	0	no	1
161	CCL2	1	1	1	1	1	YES	0
162	CCL1	1	1	1	1	0	no	0
163	CCL13	1	1	1	1	0	no	0
164	NAGLU	1	1	1	0	0	no	0
165	COL1A1	1	0	1	1	1	YES	0
166	PPY	1	1	1	1	0	no	0
167	VTN	1	1	1	1	1	YES	0
168	ALDOC	1	0	1	0	1	YES	0
169	IBSP	1	1	1	1	0	no	0
