HGNC Symbol	Number of Databases Confirmed
244	GFER	3
245	FGL2	3
246	SPINK2	3
247	LIF	4
248	VGF	4
249	ISLR	3
250	WISP1	4
251	CLEC11A	4
252	KLK12	4
253	CMA1	3
254	INS	4
255	IGSF21	3
256	LILRA2	3
257	ADAMTS2	5
258	PDGFRL	3
259	NXPE1	3
260	ELN	3
261	ANGPTL8	3
262	APOE	5
263	ACE2	3
264	NCAN	4
265	BMP15	3
266	EPO	3
267	PXDN	3
268	GDF15	3
269	OLFM1	4
270	LAMA5	5
271	BPIFB1	3
272	BPIFA2	3
273	DEFB118	4
274	C1QL1	3
275	F12	3
276	ADGRE3	3
277	NAPSA	3
278	NDFIP1	3
279	FSHB	4
280	CHSY1	3
281	LGALS3	3
282	EMILIN2	3
283	OC90	4
284	SERPINF1	4
285	JCHAIN	3
286	CRP	4
287	HAPLN2	4
288	APCS	3
289	SYT4	3
290	CHI3L1	4
291	CCDC134	3
292	NTS	3
293	ADAMDEC1	3
294	IL5RA	3
295	CHL1	3
296	REG4	4
297	TSHB	4
298	SAA2	3
299	FST	4
300	CFHR5	3
301	GRP	4
302	SPX	4
303	GIF	3
304	TCN1	4
305	ADAMTS8	4
306	ANXA1	3
307	HILPDA	3
308	CD63	4
309	LACRT	3
310	GDF11	5
311	PRADC1	3
312	LAMC1	4
313	WNT10A	3
314	THSD1	3
315	IL6	5
316	CHAD	4
317	IL36G	3
318	IL1RN	4
319	IL36A	3
320	IL36RN	3
321	IL36B	3
322	CFC1	4
323	ORM1	4
324	ENPP2	4
325	NOV	4
326	IFNA6	4
327	CCL21	4
328	CCL27	4
329	TINAG	3
330	PSORS1C2	3
331	C6orf15	4
332	CLPS	3
333	FGFBP2	3
334	IL18BP	4
335	GGH	3
336	SDCBP	3
337	SORL1	4
338	MMP7	5
339	MMP20	4
340	MMP13	4
341	THBS1	3
342	MSTN	3
343	COL8A1	5
344	EPYC	3
345	LYZ	4
346	LIPG	3
347	C12orf49	3
348	PZP	3
349	XYLT1	3
350	VWF	4
351	ENOX1	3
352	DPEP1	3
353	CDH1	3
354	IL17B	3
355	THSD4	4
356	CILP	4
357	RAB11A	3
358	LOXL1	3
359	FLT4	4
360	LTBP2	4
361	SERPINA10	3
362	LPO	4
363	RAB11FIP3	3
364	CRISPLD2	3
365	ERP44	3
366	FBN2	4
367	ISM1	3
368	PCSK2	5
369	OGN	4
370	GSDMD	3
371	ADA2	3
372	ANOS1	3
373	TIMP2	4
374	LGALS3BP	3
375	BPI	3
376	ST3GAL3	3
377	CNPY4	4
378	MYDGF	4
379	A1BG	4
380	IL37	4
381	IL1A	3
382	IL1B	3
383	MIA	4
384	C9	3
385	LIFR	3
386	C6	3
387	TNR	3
388	SIAE	3
389	LCN1	3
390	CNTN3	3
391	IL7	3
392	GNLY	3
393	KDR	3
394	CKLF	4
395	LCAT	3
396	NECTIN1	4
397	TECTA	3
398	GPC1	3
399	FCER2	3
400	LOXL3	3
401	LAMC2	3
402	NID1	4
403	NMU	3
404	ADAM23	3
405	BCHE	3
406	IL21	3
407	FGF2	3
408	GZMM	3
409	IL11	4
410	CP	4
411	WNT5A	3
412	FGF10	3
413	SERPINI2	3
414	KLKB1	4
415	FNDC4	3
416	POMC	4
417	MMRN1	4
418	COL5A3	3
419	OLFM2	4
420	F13A1	3
421	ARSB	3
422	BST1	3
423	KNG1	4
424	FETUB	4
425	VCAN	4
426	TNC	4
427	AMBP	3
428	FSTL4	4
429	SEMA3C	4
430	SEMA3A	4
431	NRP1	4
432	COL6A5	4
433	WNT2	4
434	PON3	3
435	NPTX2	3
436	GAL	5
437	ADAM28	3
438	HPX	4
439	IDE	3
440	HYAL1	4
441	ITIH4	5
442	SLIT1	4
443	SFRP5	3
444	TIMP3	4
445	INHBE	4
446	LUM	4
447	KERA	4
448	DHH	3
449	NPFF	3
450	ERBB3	4
451	CBLN3	3
452	FGF7	3
453	ADAMTS17	4
454	MFGE8	3
455	FURIN	3
456	PRSS36	3
457	GFOD2	3
458	SPACA3	3
459	CDH2	3
460	GALNT1	3
461	MEP1B	3
462	NPC1	3
463	ASGR1	4
464	SECTM1	3
465	CBLN2	3
466	IGFBP4	4
467	PSG9	4
468	NTN5	3
469	ADAMTS10	4
470	FBN3	3
471	PTH2	3
472	IGLON5	3
473	FCN3	3
474	TINAGL1	3
475	PROK1	3
476	HMCN1	4
477	ADAMTSL4	4
478	CTSK	4
479	LEFTY1	4
480	WNT9A	4
481	REN	4
482	GDF7	3
483	REG3G	4
484	C1QL2	3
485	NXPH2	3
486	TMEFF2	3
487	FAM198A	4
488	ITIH1	5
489	NXPE3	4
490	PLA1A	3
491	UCN2	4
