HGNC Symbol	Number of Databases Confirmed
1410	LYZL1	3
1411	MFAP2	4
1412	ASPN	4
1413	PROZ	4
1414	OMD	4
1415	F10	4
1416	F7	4
1417	NEU1	3
1418	HSPA1A	3
1419	VWA7	4
1420	COL4A1	4
1421	LY6G6D	3
1422	LY6G5B	4
1423	TNFSF13B	3
1424	CELA2B	4
1425	APOM	3
1426	BAG6	3
1427	ITGBL1	4
1428	TNFRSF1B	3
1429	CDSN	4
1430	DEFB123	4
1431	DEFB119	4
1432	NPPB	4
1433	NPPA	3
1434	GNL1	3
1435	ENTPD6	3
1436	ANGPTL7	3
1437	NMS	3
1438	CST3	4
1439	CST9	3
1440	CST9L	3
1441	CST11	4
1442	GABBR1	3
1443	IL31	3
1444	GPC6	5
1445	CORT	3
1446	GPC5	4
1447	SLITRK1	3
1448	MAMDC2	4
1449	CGB7	4
1450	CA6	4
1451	IGFBPL1	5
1452	IGFL4	3
1453	TNFRSF25	4
1454	CUBN	3
1455	SPINK9	3
1456	GKN1	3
1457	LYPD5	3
1458	SCGN	3
1459	CNMD	3
1460	RECK	3
1461	NDP	4
1462	C12orf73	3
1463	PGA4	3
1464	PKHD1L1	3
1465	MMEL1	3
1466	PODXL	3
1467	ITM2B	4
1468	CCL7	3
1469	LGALS7	3
1470	PRRG1	3
1471	UCMA	3
1472	CCDC3	3
1473	BMP2	5
1474	DHRS13	4
1475	CHGB	4
1476	NRCAM	3
1477	NGRN	4
1478	SCGB2B2	4
1479	APOO	3
1480	VIT	4
1481	GFOD1	3
1482	PRDX4	3
1483	AGRN	3
1484	EDN1	4
1485	ISG15	3
1486	XDH	3
1487	NHLRC3	3
1488	NDNF	5
1489	SPINK4	5
1490	POSTN	4
1491	TXNDC5	3
1492	IL15RA	4
1493	RS1	4
1494	C9orf72	3
1495	ARSK	5
1496	TEK	3
1497	KL	3
1498	IFNA8	3
1499	IFNA2	4
1500	IFNA16	3
1501	IFNA10	3
1502	IFNA14	4
1503	IFNA21	4
1504	IFNW1	3
1505	IFNB1	4
1506	AVP	4
1507	EMILIN1	4
1508	UCN3	4
1509	SHBG	3
1510	COL2A1	4
1511	ADAMTSL1	4
1512	EGFL6	3
1513	CPXM1	3
1514	TMSB4X	3
1515	AMELX	4
1516	FREM1	4
1517	CER1	4
1518	SLC12A1	3
1519	ADAMTS6	3
1520	IGFBP3	5
1521	GP2	3
1522	ESM1	4
1523	IL33	3
1524	CRLF2	4
1525	SIRPD	3
1526	RLN2	4
1527	INSL6	4
1528	ASAH1	3
1529	PRH2	4
1530	ANGPT4	3
1531	VLDLR	4
1532	LGI2	4
1533	SOD3	3
1534	DEFB135	3
1535	DEFB136	3
1536	FGF9	3
1537	DEFB132	4
1538	DEFB127	4
1539	DEFB126	4
1540	DEAF1	4
1541	DEFB125	4
1542	DEFA1	3
1543	DEFA1B	3
1544	SERPINB5	4
1545	HGFAC	4
1546	MSLN	4
1547	RNASE13	3
1548	LY6G5C	3
1549	COLQ	4
1550	FAM131A	3
1551	ADAMTS7	4
1552	GPX3	3
1553	OTOA	4
1554	LOXL2	4
1555	PRB2	4
1556	VWA3A	3
1557	ADAMTS20	3
1558	SSC5D	3
1559	LAMA1	4
1560	CCL25	4
1561	KLK8	5
1562	KLK7	4
1563	IL24	3
1564	LAD1	3
1565	CRLF1	3
1566	CSH2	4
1567	DBH	4
1568	SERPINA3	3
1569	PDGFD	5
1570	NTNG2	3
1571	PTPRZ1	3
1572	SFTPB	4
1573	C1QTNF2	3
1574	PROS1	3
1575	GPC3	3
1576	LIPF	4
1577	RSPRY1	3
1578	NMB	5
1579	CCL8	3
1580	CFI	3
1581	AIMP1	3
1582	ZP3	3
1583	NRG4	3
1584	PSAP	4
1585	SMIM29	3
1586	SPP1	3
1587	IZUMO4	5
1588	LGALS9	3
1589	MFAP4	4
1590	ADM2	3
1591	BTC	3
1592	CXCL1	3
1593	AFP	3
1594	CXCL12	4
1595	BMP7	4
1596	PTHLH	4
1597	FAM172A	3
1598	ENAM	3
1599	ODAM	3
1600	COL4A3	5
1601	COL4A4	3
1602	EAF1	3
1603	TULP3	3
1604	CNTN4	3
1605	LYPD1	3
1606	TCTN1	3
1607	MUC16	3
1608	RNASE4	3
1609	CXorf36	4
1610	NPS	3
1611	APOF	3
1612	SPINK13	3
1613	SPAG11B	4
1614	DEFB113	3
1615	WNT8A	3
1616	ABHD18	3
1617	COL25A1	3
1618	OTOG	3
1619	COL28A1	3
1620	OPRPN	3
1621	ENHO	3
1622	MTRNR2L4	3
1623	DSCAM	3
1624	DEFB116	3
1625	DEFB115	3
1626	ZG16	3
1627	MASP2	4
1628	MATN3	4
1629	LIPK	3
1630	LIPM	3
1631	LIPN	3
1632	FAM19A5	3
1633	CRELD2	3
1634	FBLN2	4
1635	NXPH1	4
1636	ALKAL2	4
1637	RNASE9	3
1638	IFI30	5
1639	SVEP1	3
1640	F11	5
1641	VSTM2A	3
1642	VPREB1	3
1643	C22orf46	3
1644	CEACAM16	3
1645	PSG2	3
1646	TF	3
1647	CLPSL2	4
1648	LTBP1	4
1649	CPE	4
1650	HMSD	3
1651	LLCFC1	3
1652	C4orf48	3
1653	NOTUM	3
1654	ARTN	4
1655	HMCN2	4
1656	GCG	5
1657	OAS1	3
1658	CASP4	3
1659	MLN	4
1660	CRISP3	3
1661	NPNT	5
1662	AGR2	3
1663	IGF2	5
1664	GPX5	4
1665	RELN	4
1666	FGFR1	3
1667	ADM5	3
1668	PLA2G10	3
1669	AHSG	3
1670	CSF2RA	3
1671	IFNA13	3
1672	PPT1	4
1673	ORM2	5
1674	IGFL2	3
1675	MAN2B1	3
1676	PATE3	3
1677	JAM3	3
1678	C4A	3
1679	NTM	3
1680	MUC20	3
1681	SCN1B	4
1682	SFTPA1	3
1683	NTF3	4
1684	RLN3	3
1685	AMY2A	3
1686	ENDOU	4
1687	TNF	3
1688	CYR61	3
1689	FGF16	3
1690	PRG4	4
1691	FJX1	4
1692	LAMA2	4
1693	OTOGL	3
1694	PRSS48	3
1695	C11orf94	3
1696	SIGLEC6	4
1697	PRSS42	3
1698	PVR	5
1699	CPAMD8	4
1700	PMEL	3
1701	IGKV3D-7	3
1702	LTA	4
1703	CGB8	3
1704	CCBE1	3
1705	NPIPB7	3
1706	GPI	3
1707	MUC6	3
1708	ODAPH	4
1709	HHLA1	3
1710	HSD11B1L	4
1711	SPINK8	3
1712	TNXB	4
1713	IFNL3	3
1714	GDNF	5
1715	FGFR2	5
1716	SFRP4	3
1717	NPIPB15	3
1718	PATE4	3
1719	ADCYAP1	3
1720	PDCD6IP	3
1721	IFNA17	3
1722	IL10	3
1723	IFNA4	3
1724	BDNF	4
1725	EFNA4	5
1726	CTSO	3
1727	ITIH3	4
1728	SERPINE2	3
1729	IGFL1	3
1730	C4B	3
1731	PRAP1	4
1732	TGFBI	3
1733	NELL2	4
1734	CFB	5
1735	IGFALS	3
1736	MUC15	3
1737	DEFB121	3
1738	VWA1	3
1739	HFE	3
1740	FAM19A1	4
1741	MUC4	3
1742	IFNE	3
1743	LCN10	3
1744	ADAMTS9	4
1745	MSMP	4
1746	CDNF	4
1747	PPIA	3
1748	ADAM9	4
1749	ARMC8	3
1750	CALU	4
1751	CST7	3
1752	PCDHA1	4
1753	SELENOP	3
1754	GC	4
1755	CR1L	3
1756	PDGFC	3
1757	ADAMTS12	3
1758	SLIT2	3
1759	RNASET2	4
1760	EPPIN-WFDC6	3
1761	DEFB4B	3
1762	CXCL2	3
1763	WDR1	3
1764	SERPINE3	3
1765	SFTA3	3
1766	ANGPT1	3
1767	CES5A	3
1768	SCUBE2	4
1769	SLIT3	5
1770	MATN2	4
1771	IGLL5	3
1772	HTN3	4
1773	PCDHA6	5
1774	DEFB134	3
1775	KIRREL3	3
1776	MUC5B	4
1777	MTRNR2L5	3
1778	MTRNR2L1	3
1779	MTRNR2L8	3
1780	MTRNR2L7	3
1781	HPR	5
1782	MTRNR2L10	3
1783	ERFE	3
1784	MTRNR2L3	3
1785	CES4A	3
1786	C3orf33	3
1787	PCSK5	4
1788	PRSS58	3
1789	RNASE12	4
1790	VTI1B	3
1791	PGF	3
1792	NPC2	4
1793	B2M	4
1794	METRN	3
1795	CLEC19A	3
1796	ERVMER34-1	3
1797	CCER2	3
1798	PRCD	3
1799	LYPD8	3
1800	APOC2	4
1801	APOC4	3
1802	FAM20A	3
1803	FLT3LG	3
1804	MTRNR2L12	3
1805	TNFSF14	3
1806	KLK15	4
1807	PINLYP	4
1808	KLK13	4
1809	CXCL17	3
1810	KLK11	3
1811	MATN4	3
1812	PRLR	3
1813	COL11A2	3
1814	PRR27	3
1815	CRB2	3
1816	PTGS1	3
1817	C1QTNF9B	3
1818	FGFBP1	3
1819	EFNA1	3
1820	MUC3A	3
1821	PRB3	3
1822	PLAUR	3
1823	SLAMF1	3
1824	C16orf89	3
1825	CHID1	3
1826	CD177	3
1827	FGL1	3
1828	FOLR3	3
1829	MMP28	3
1830	DMKN	3
1831	MMP12	3
1832	MSMB	3
1833	GDF10	3
1834	KLK9	3
1835	GREM1	3
1836	SMPDL3B	3
1837	KIAA0100	3
1838	EPPIN	3
1839	AMY2B	3
1840	TPSB2	3
1841	C1QTNF3	3
1842	PCSK6	3
1843	RNASE11	3
1844	PILRA	3
1845	LILRA5	3
1846	IDUA	3
1847	SEMA3B	3
1848	LGMN	3
1849	COL19A1	3
1850	RBP3	3
1851	CCL5	3
1852	STC2	3
1853	CHI3L2	3
1854	CCL23	3
1855	PRSS23	3
1856	MAN2B2	3
1857	GNPTG	3
1858	PI16	3
1859	PSG4	3
1860	NAMPT	3
1861	EGFL8	3
1862	OLFML3	3
1863	SBSN	3
1864	COL26A1	3
1865	LOXL4	3
1866	MUC5AC	3
1867	TMPRSS2	3
1868	PRSS2	3
1869	PI15	3
1870	DDR1	3
1871	ZG16B	3
1872	CCL15	3
