HGNC Symbol	Number of Databases Confirmed
186	CHRNE	5
187	CHRNG	5
188	CLCA1	4
189	CLCA4	4
190	CLCN1	4
191	CLCN2	6
192	CLCN4	5
193	CLCN5	5
194	CLCNKB	4
195	CLDN1	5
196	CLDN4	5
197	CLEC1A	4
198	CLEC2B	5
199	CLEC2D	5
200	CLEC4A	4
201	CLEC4M	4
202	CLEC5A	6
203	CLPTM1	4
204	CMKLR1	4
205	CNGA1	4
206	CNR1	5
207	CNR2	6
208	CNTN2	4
209	COL17A1	6
210	CORIN	4
211	CR1	5
212	CR2	5
213	CRHR1	4
214	CSF1R	5
215	CSF2RA	4
216	CSF2RB	4
217	CSF3R	5
218	CSK	4
219	CSPG5	4
220	CTLA4	5
221	CTNNB1	5
222	CUBN	4
223	CX3CR1	4
224	CXADR	6
225	CXCR3	5
226	CYSLTR1	5
227	DAG1	5
228	DCC	4
229	DDR1	4
230	DDR2	6
231	DEGS1	4
232	DLG1	5
233	DLG2	6
234	DLG5	4
235	DLL1	6
236	DNER	4
237	DRD1	4
238	DRD2	4
239	DRD3	4
240	DRD5	4
241	DSC1	4
242	DSC2	5
243	DSC3	4
244	DSG2	6
245	DUOX1	5
246	DYSF	5
247	EDA	4
248	EDNRA	6
249	EDNRB	6
250	EFNA1	4
251	EFNA3	4
252	EFNA4	5
253	EFNA5	5
254	EFNB1	7
255	EFNB2	6
256	EFNB3	4
257	EGFR	7
258	ELMO1	4
259	ENG	5
260	ENPEP	4
261	ENPP2	4
262	ENPP3	7
263	ENTPD1	5
264	EPHA1	4
265	EPHA4	7
266	EPHB1	7
267	EPHB3	6
268	EPHB4	5
269	EPOR	6
270	ERBB2	7
271	ERBB3	7
272	EREG	5
273	EVI2B	4
274	F2R	5
275	F2RL1	4
276	F3	5
277	FASLG	5
278	FCAR	7
279	FCER1A	4
280	FCER2	6
281	FCGR1A	4
282	FCGR2A	4
283	FCGR2B	5
284	FCGR3A	4
285	FFAR1	5
286	FFAR2	4
287	FGFR1	5
288	FGFR3	6
289	FGFR4	6
290	FLOT1	4
291	FLRT1	5
292	FLRT2	6
293	FLRT3	5
294	FLT1	5
295	FLT3	7
296	FLT4	5
297	FLVCR1	4
298	FOLH1	4
299	FOLR1	6
300	FPR1	4
301	FSHR	5
302	FUT1	4
303	FXYD1	5
304	FXYD2	4
305	FXYD3	5
306	GABBR1	5
307	GABBR2	4
308	GABRA1	5
309	GABRA2	6
310	GABRA3	4
311	GABRA4	4
312	GABRA5	6
313	GABRA6	4
314	GABRB1	4
315	GABRB2	5
316	GABRD	5
317	GABRE	5
318	GABRG2	5
319	GABRR1	5
320	GALNT8	4
321	GALR1	5
322	GALR2	4
323	GAS1	4
324	GHR	7
325	GJA1	4
326	GLP1R	4
327	GLP2R	4
328	GLRA1	4
329	GLRA2	6
330	GLRA3	6
331	GLRB	5
332	GNA15	4
333	GNAI1	4
334	GNAI2	4
335	GNAQ	5
336	GNAS	5
337	GNAT2	4
338	GNRHR	5
339	GOPC	4
340	GP1BA	4
341	GP1BB	4
342	GP5	4
343	GP6	4
344	GPA33	5
345	GPC1	7
346	GPC3	6
347	GPC4	5
348	GPC5	4
349	GPM6A	5
350	GPR1	5
351	GPR12	5
352	GPR137B	4
353	GPR176	4
354	GPR19	5
355	GPR20	4
356	GPR22	4
357	GPR25	4
358	GPR31	4
359	GPR34	5
360	GPR37	4
361	GPR4	5
362	GPR50	5
363	GPR55	4
364	GPR6	5
365	GPR68	4
366	GPRC5A	6
367	GPRC5C	5
368	GRIA1	6
369	GRIA2	7
370	GRIA3	5
371	GRIA4	5
372	GRID2	6
373	GRIK1	5
374	GRIK2	6
375	GRIK3	7
376	GRIK4	4
377	GRIN1	5
378	GRIN2A	5
379	GRIN2B	4
380	GRIN2C	4
381	GRIN2D	4
382	GRM1	5
383	GRM2	5
384	GRM3	4
385	GRM4	4
386	GRM6	5
387	GRM7	4
388	GRPR	6
389	GYPC	4
390	GYPE	4
391	HAS1	4
392	HAS2	5
393	HAS3	5
394	HBEGF	4
395	HCN4	4
396	HCRTR1	4
397	HFE	6
398	HLA-A	5
399	HLA-B	4
400	HLA-C	4
401	HLA-DPA1	6
402	HLA-DQA2	6
403	HLA-DRA	6
404	HLA-DRB1	4
405	HLA-DRB3	5
406	HPN	4
407	HRH1	6
408	HRH2	4
409	HRH3	5
410	HS6ST1	5
411	HTR1F	4
412	HTR2B	4
413	HTR3A	5
414	HTR4	4
415	HTR5A	4
416	HTR7	5
417	ICAM1	6
418	ICAM2	4
419	ICAM3	6
420	ICAM4	4
421	IFNAR1	5
422	IFNAR2	5
423	IFNGR1	5
424	IFNGR2	5
425	IGF1R	5
426	IGF2R	6
427	IGSF6	4
428	IL12RB1	4
429	IL13RA1	4
430	IL17RB	5
431	IL1R1	4
432	IL27RA	5
433	IL2RA	5
434	IL2RB	6
435	IL2RG	5
436	IL4R	5
437	IL6R	5
438	IL6ST	6
439	IL9R	4
440	INSR	4
441	INSRR	4
442	ITGA1	5
443	ITGA2	4
444	ITGA2B	5
445	ITGA5	5
446	ITGA8	5
447	ITGA9	6
448	ITGAE	4
449	ITGAL	4
450	ITGAM	5
451	ITGAV	5
452	ITGAX	5
453	ITGB1	7
454	ITGB2	6
455	ITGB3	4
456	ITGB4	6
457	ITGB6	5
458	ITGB7	5
459	ITGB8	6
460	ITM2B	6
461	ITPR1	4
462	ITPR2	4
463	JAG1	6
464	JAG2	5
465	JTB	5
466	KCNA1	5
467	KCNA2	6
468	KCNA3	6
469	KCNA4	4
470	KCNA5	4
471	KCNC3	4
472	KCNC4	5
473	KCNE1	6
474	KCNE2	4
475	KCNE3	5
476	KCNH2	6
477	KCNH4	4
478	KCNJ1	5
479	KCNJ10	5
480	KCNJ11	4
481	KCNJ15	5
482	KCNJ4	5
483	KCNJ8	4
484	KCNK1	5
485	KCNK5	5
486	KCNK6	5
487	KCNK7	6
488	KCNMA1	4
489	KCNMB3	4
490	KCNMB4	4
491	KCNN4	5
492	KCNQ1	5
493	KCNQ2	4
494	KCNQ3	4
495	KCNQ5	5
496	KIR2DL3	4
497	KIR2DL4	4
498	KIR2DS4	4
499	KIR3DL1	5
500	KIR3DL2	4
501	KITLG	4
502	KL	5
503	KLRB1	5
504	KLRC1	5
505	KLRC2	5
506	KLRF1	5
507	KLRK1	5
508	LAMP1	7
509	LAT	4
510	LCK	4
511	LCT	4
512	LDLR	5
513	LEPR	5
514	LGALS3	4
515	LIFR	6
516	LRMP	4
517	LRP1	5
518	LRP12	7
519	LRP8	4
520	LRPAP1	4
521	LRRC32	4
522	LTB4R	5
523	LY86	4
524	LY96	5
525	M6PR	4
526	MAL	4
527	MAPT	4
528	MC2R	4
529	MC3R	4
530	MC5R	4
531	MCAM	4
532	MCHR1	4
533	MCOLN1	6
534	MEP1B	5
535	MIP	4
536	MLANA	4
537	MMD	4
538	MME	5
539	MMP14	4
540	MMP15	5
541	MMP16	6
542	MMP24	7
543	MPL	4
544	MPP2	4
545	MPZ	5
546	MPZL1	6
547	MRC1	4
548	MS4A1	6
549	MS4A2	4
550	MSN	4
551	MSR1	5
552	MST1R	5
553	MUC1	5
554	MUC4	6
555	MUSK	6
556	NBEA	4
557	NCAM1	4
558	NCAM2	5
559	NCKAP1L	5
560	NCR1	4
561	NCR3	5
562	NCSTN	4
563	NEU3	4
564	NGFR	4
565	NINJ2	4
566	NKTR	4
567	NLGN1	8
568	NOTCH2	6
569	NOTCH4	4
570	NPC1	6
571	NPFFR2	4
572	NPHS1	5
573	NPHS2	4
574	NPR1	4
575	NPR2	4
576	NPY1R	6
577	NPY2R	4
578	NRCAM	6
579	NRXN3	4
580	NTNG1	6
581	NTRK1	6
582	NTRK2	5
583	NTRK3	6
584	NTSR1	6
585	NUMB	4
586	OLR1	6
587	OPCML	4
588	OPN1SW	4
589	OPN3	4
590	OPRD1	4
591	OPRK1	5
592	OPRL1	4
593	OPRM1	4
594	OR1D2	4
595	OR52A1	4
596	OSMR	5
597	OXTR	4
598	P2RX1	6
599	P2RX3	4
600	P2RX4	5
601	P2RX5	5
602	P2RY1	4
603	P2RY2	4
604	P2RY4	5
605	P2RY6	4
606	PALM	5
607	PCDH1	6
608	PCDH11X	4
609	PCDH12	4
610	PCDH8	5
611	PCDHAC1	4
612	PCDHB11	4
613	PCDHB12	4
614	PCDHB4	4
615	PCDHB6	4
616	PDGFRA	6
617	PDPN	6
618	PGRMC1	4
619	PHEX	5
620	PILRA	4
621	PKD1	5
622	PKD2	7
623	PKP4	4
624	PLAUR	6
625	PLP2	4
626	PLSCR1	4
627	PLXNB1	5
628	PLXNC1	4
629	PMP22	4
630	PODXL2	4
631	PRKD1	5
632	PRNP	5
633	PROCR	4
634	PROM1	6
635	PRRG1	4
636	PRRG2	4
637	PRSS8	5
638	PSEN1	4
639	PSEN2	4
640	PTAFR	6
641	PTGER2	5
642	PTGER3	5
643	PTGFR	4
644	PTGIR	4
645	PTK7	6
646	PTPRA	6
647	PTPRB	7
648	PTPRD	6
649	PTPRF	5
650	PTPRG	6
651	PTPRH	5
652	PTPRJ	6
653	PTPRK	6
654	PTPRN	5
655	PTPRN2	5
656	PTPRO	4
657	PTPRS	7
658	PTPRU	5
659	PTPRZ1	5
660	RAPGEF2	4
661	RASA3	4
662	RCE1	4
663	RGR	4
664	RGS1	4
665	RHAG	5
666	RHBDL1	4
667	RHCE	5
668	RHCG	5
